county,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
Hawaii,115112.61006772518,19683.760004281998,34435204.95088178,27236.110010504723,104661229.89968061,72977589.4262378,13774081.980352715
Honolulu,552868.8002244234,78014.53996789455,114574131.42769247,125599.9499809742,450363292.48838425,335565795.6092224,45829652.57107698
Kauai,40931.500049591064,7254.170002698898,13417121.688559454,8728.860005021095,30780340.030670166,23355061.48840422,5366848.675423782
Maui,93690.61006772518,15115.400022506714,21853909.7549064,21328.760034799576,72534280.09471893,54832733.90459907,8741563.901962563
