weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,county,poverty_rate_rxkids_hi,persons_lifted_rxkids_hi,gap_closed_rxkids_hi_$
184937.0,74879.0,0.17500554242796196,32365.0,173278201.31755137,Hawaii,0.17325900171409722,323.0,2392919.1120001674
906512.0,344007.0,0.112928455442399,102371.0,508727578.7862414,Honolulu,0.11015739449670826,2512.0,7188400.855453134
56309.0,22893.0,0.1349162656058534,7597.0,41396406.06085543,Kauai,0.1328917224599975,114.0,536887.9061881304
154012.0,57452.0,0.11722463184686907,18054.0,87137296.30251116,Maui,0.11697140482559801,39.0,1215382.8491291106
