weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,senate_district,poverty_rate_rxkids_hi,persons_lifted_rxkids_hi,gap_closed_rxkids_hi_$
69320.71001327038,39056.89001703262,0.26136561473323106,18118.049986362457,162036650.81427556,1,0.258154453185239,222.5999984741211,1442009.0204105377
65301.610031723976,37634.38000023365,0.30296374010354865,19784.020009994507,158401473.8335369,3,0.302169732109622,51.85000038146973,1564574.6922419667
69248.71997284889,38421.34005045891,0.3134651429743347,21707.059907078743,158935717.52489784,4,0.3134651429743347,0.0,1650694.1001794636
77545.05012047291,45624.290079951286,0.22342393225711382,17325.420024991035,156467069.28744957,6,0.22304028430081255,29.75,1425625.2251494527
74508.02001345158,43091.71002161503,0.27736893315267863,20666.210022449493,169334792.53219748,7,0.27619389185627397,87.55000042915344,1650463.0181359649
76684.67004311085,45906.11001574993,0.2666705087812675,20449.539976119995,172627009.7170391,8,0.2660497849797845,47.59999990463257,1607428.1543818712
35532.930022239685,22535.029987335205,0.3238384793423856,11506.930024981499,104083288.87198332,9,0.32247495542868243,48.44999980926514,936613.0673863888
91897.96005988121,51893.4700357914,0.20593634489034718,18925.129997611046,180326767.38694084,10,0.20356142819599454,218.24999952316284,1603114.8152675629
136850.8399734497,74001.85003232956,0.22516003483663327,30813.33989584446,266296940.5874715,11,0.22443844628066123,98.75,2535574.0714581013
74865.15002334118,46117.58003389835,0.29073727912866176,21766.090019345284,194165292.61793464,13,0.2850804414696447,423.5,1759449.9522229135
32755.400019407272,19366.75001502037,0.18369398623075342,6016.9700001478195,63269393.93270153,14,0.18224079077455632,47.599998474121094,556305.648753792
100863.4299839735,58047.440017580986,0.26727248888312805,26958.01996910572,230664600.1432413,15,0.2624793740707236,483.4500002861023,2104267.3597566187
100114.57005858421,53055.740021944046,0.22601335647851398,22627.230011343956,184143217.79016438,16,0.22590298293164393,11.050000190734863,1795876.9097922146
76443.5400531292,47467.620029211044,0.2443649263114863,18680.120032072067,165348138.01074696,19,0.24260087928003132,134.84999990463257,1488802.6416257918
41369.96003103256,27817.08001410961,0.25185182712920084,10419.10002207756,95812870.21602693,21,0.2514819935548087,15.300000190734863,821637.8723396957
124094.45006537437,72279.6400398016,0.2199322372170061,27292.370029091835,236188807.4390615,23,0.21808880261562472,228.76000308990479,2293399.9496534467
79856.86000144482,43801.91001856327,0.17811343931961068,14223.579988121986,138736467.653126,24,0.1769000182226241,96.89999866485596,1245268.8441394567
68098.149928689,36484.68997883797,0.23714065648888458,16148.8399797678,132866789.81630488,25,0.2367911609344166,23.80000066757202,1269736.9862681776
