tax_year,scenario,population,metric,value
2022,baseline,all,weighted_persons,1395352.0204154253
2022,baseline,all,weighted_filers,802603.5204094648
2022,baseline,all,poverty_rate,0.221439067278455
2022,baseline,all,persons_in_poverty,308985.4499258995
2022,baseline,all,poverty_gap_$,2550714714.026434
2022,no_eitc,all,poverty_rate,0.2395240162726366
2022,no_eitc,all,persons_lifted,25234.870118141174
2022,no_eitc,all,gap_closed_$,86403391.59773254
2022,no_ctc,all,poverty_rate,0.2342418007583893
2022,no_ctc,all,persons_lifted,17864.320028066635
2022,no_ctc,all,gap_closed_$,31782167.699104782
2022,no_hi_eitc,all,poverty_rate,0.2234554115160008
2022,no_hi_eitc,all,persons_lifted,2813.510005712509
2022,no_hi_eitc,all,gap_closed_$,8534536.356304646
2022,no_credits,all,poverty_rate,0.2556502551342984
2022,no_credits,all,persons_lifted,47736.6500954628
2022,no_credits,all,gap_closed_$,150715049.5957904
2022,expanded_ctc_2021,all,poverty_rate,0.2014835079263995
2022,expanded_ctc_2021,all,persons_lifted,27845.0300604105
2022,expanded_ctc_2021,all,gap_closed_$,147737975.82088757
2022,hi_eitc_100pct,all,poverty_rate,0.2185589338265475
2022,hi_eitc_100pct,all,persons_lifted,4018.80003118515
2022,hi_eitc_100pct,all,gap_closed_$,11225630.363000393
2022,hi_ctc_650,all,poverty_rate,0.2164449368312624
2022,hi_ctc_650,all,persons_lifted,6968.5700097084045
2022,hi_ctc_650,all,gap_closed_$,29967043.42399168
2022,baseline,head_of_household,poverty_rate,0.3360376374115391
2022,baseline,head_of_household,persons_in_poverty,72107.39981031418
2022,baseline,head_of_household,weighted_persons,214581.3200144768
2022,no_eitc,head_of_household,persons_lifted,15799.520114421844
2022,no_eitc,head_of_household,poverty_rate,0.4096671598385422
2022,no_ctc,head_of_household,persons_lifted,11381.520028352736
2022,no_ctc,head_of_household,poverty_rate,0.3890782283986058
2022,no_hi_eitc,head_of_household,persons_lifted,971.9600040912628
2022,no_hi_eitc,head_of_household,poverty_rate,0.3405672022591487
2022,no_credits,head_of_household,persons_lifted,24543.40009355545
2022,no_credits,head_of_household,poverty_rate,0.4504157207036897
2022,expanded_ctc_2021,head_of_household,persons_lifted,17476.480056405067
2022,expanded_ctc_2021,head_of_household,poverty_rate,0.2545930827074016
2022,hi_eitc_100pct,head_of_household,persons_lifted,2086.80003118515
2022,hi_eitc_100pct,head_of_household,poverty_rate,0.3263126528180788
2022,hi_ctc_650,head_of_household,persons_lifted,3466.7200083732605
2022,hi_ctc_650,head_of_household,poverty_rate,0.319881897442471
