weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,senate_district,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
61663.0,24914.0,0.14932779786906247,9208.0,53157632.85729027,1,0.17409143246355188,1527.0,3110558.8863303512,0.16260966868300278,819.0,1087623.6913772225,0.1689505862510744,1210.0,896684.6995360777,0.1771889139354232,1718.0,6209369.473079696,0.1391920600684365,625.0,2631186.2068934888,0.14172194022347276,469.0,874688.2900148556,0.1422571071793458,436.0,518043.3721643016
58398.0,24638.0,0.17820815781362376,10407.0,61435984.781000085,3,0.2006918045138532,1313.0,2774160.8090233803,0.19647933148395494,1067.0,1480666.0693692714,0.18998938319805472,688.0,964579.7378996834,0.21165108394123086,1953.0,6173504.243529491,0.16298503373403198,889.0,3942132.1972233728,0.16760847974245693,619.0,744044.806865938,0.16897838967087914,539.0,760493.5202756003
64876.0,25327.0,0.19689869905666194,12774.0,65245550.328620404,4,0.2056846907947469,570.0,3665982.8874208033,0.2057771749183057,576.0,1143284.958905071,0.199719464825205,183.0,1330989.3810215145,0.22179234231456932,1615.0,7484275.475535333,0.17573524878229238,1373.0,5674782.5014991835,0.18458289660274987,799.0,1554435.7475339472,0.19279856957888897,266.0,1172759.4872481525
71820.0,27097.0,0.1073517126148705,7710.0,41144594.51952177,6,0.13383458646616542,1902.0,3506951.7371794432,0.12758284600389863,1453.0,1048049.9208737761,0.11073517126148705,243.0,1175703.4169866443,0.1375800612642718,2171.0,8174503.894365907,0.10002784739626845,526.0,3649726.255257681,0.10236702868281816,358.0,1424461.2383382916,0.10598719019771652,98.0,727400.6101912707
68626.0,26436.0,0.1424241541106869,9774.0,44804096.11882348,7,0.14896686387083613,449.0,3804259.6300712377,0.14896686387083613,449.0,1082798.3244227916,0.14361903651677208,82.0,1422814.5525043458,0.16141112697811325,1303.0,6934870.441789731,0.12543350916562235,1166.0,5030622.655579433,0.13369568385160144,599.0,1955462.616341427,0.1417247107510273,48.0,1013922.0293020755
69875.0,26812.0,0.11888372093023256,8307.0,47671489.55415465,8,0.13581395348837208,1183.0,3066025.076571651,0.12450805008944543,393.0,534858.840321064,0.12293381037567085,283.0,1013132.0110890195,0.1428980322003578,1678.0,5693331.485405996,0.1065474060822898,862.0,2555887.6479055285,0.11114132379248658,541.0,999528.0722224191,0.10875134168157424,708.0,505783.99463285506
32869.0,12170.0,0.19894125163527945,6539.0,33138084.22560203,9,0.20700355958501931,265.0,2343200.3605889976,0.20353524597645198,151.0,786613.6596602648,0.2061212692810855,236.0,902585.5607419461,0.22729623657549666,932.0,4789351.894259475,0.18242112628920867,543.0,2705354.850893244,0.19705497581307616,62.0,1114661.9522752315,0.1976330280811707,43.0,562755.8868617415
87832.0,31700.0,0.10038482557609983,8817.0,42135083.50406341,10,0.11430913562255214,1223.0,4320007.195131719,0.11057473358229347,895.0,1740420.39235197,0.11120092904636124,950.0,1563206.8509533629,0.12231305219054558,1926.0,8710175.637846954,0.08673376445942253,1199.0,4162259.935662031,0.09194826486929593,741.0,1582731.4641929641,0.09277939703069496,668.0,920683.4689216018
128250.0,44284.0,0.10873294346978557,13945.0,72057575.5724548,11,0.13017543859649122,2750.0,5105121.407487765,0.1355399610136452,3438.0,3245646.4552854747,0.11958674463937621,1392.0,1723066.7018434852,0.1522027290448343,5575.0,13429154.409446567,0.09613255360623782,1616.0,7854157.302933596,0.1017933723196881,890.0,1841729.335271582,0.10141910331384016,938.0,1575123.8532314003
69377.0,26566.0,0.16992663274572264,11789.0,58634791.73648398,13,0.18415324963604654,987.0,5284572.236398578,0.17494270435446907,348.0,664868.5937435105,0.18043443792611386,729.0,2020735.865959078,0.19630425068826846,1830.0,9072578.767423399,0.1378987272438993,2222.0,5540339.676741473,0.15431627196333078,1083.0,2110405.8184526116,0.1613070614180492,598.0,1187155.2025290504
