weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,house_district,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
34450.75003170967,20817.210033893585,0.29092283990929135,10022.510036230087,92777442.3652225,1,0.3076214605190556,575.2800045013428,2548544.186991945,0.3153925538988003,843.0,377888.07079936564,0.2999269981436438,310.2000045776367,879256.6969566494,0.3353654134638599,1531.0799922943115,4441015.921612069,0.27214240671288137,647.0000095367432,4069230.6199223846,0.2876486006218089,112.79999923706055,1122266.385753706,0.29092283990929135,0.0,775673.6036300659
29788.15999543667,18320.13001179695,0.25505939327247806,7597.75001513958,73431627.1703471,2,0.28934818488438885,1021.4000105857849,2032688.890824318,0.2870519703699289,953.0000052452087,799230.1456678808,0.27718899148559417,659.2000122070312,640853.8562868237,0.3251906134417096,2089.0800070762634,4683958.642428428,0.24192531584604243,391.23999977111816,2762175.1643773466,0.25341847284899677,48.88000011444092,644306.6050568819,0.25392337143837446,33.84000015258789,514089.1411277503
34576.50998854637,20303.559972524643,0.2702111921922467,9342.959985852242,82600717.66736393,3,0.28331835670155553,453.2000045776367,4205534.782674059,0.27078961956986886,20.0,623591.9577673227,0.2827110079550523,432.2000045776367,1654177.7492430657,0.3172558478720095,1626.640007019043,7749354.435052067,0.24863122360612439,746.159999370575,3701449.0501220673,0.25733886940180445,445.07999753952026,2014478.5965101868,0.2702111921922467,0.0,787576.4054203033
36076.420013427734,21282.770001888275,0.2731102474355784,9852.8399964571,77330916.40366963,5,0.29437510656160737,767.1599893569946,4347030.837746739,0.28435859157953525,405.79998779296875,754734.839600563,0.2867002873857749,490.2799892425537,1608930.5468268543,0.30286929767430776,1073.5999956130981,7270828.897205263,0.2322647317263147,1473.559980392456,6429292.352435738,0.24370599980241142,1060.7999877929688,1523740.2242099345,0.2731102474355784,0.0,1312266.8064641953
37777.85002088547,20338.929998874664,0.2539117487688799,9592.239963531494,78432692.70783234,6,0.27712641025742807,877.0,2858199.2094961554,0.2677558400931057,523.0000057220459,898023.4571787715,0.27522053154913223,805.0,950492.6026130021,0.31026222972885087,2128.800018310547,6499346.067296147,0.21692658490191297,1397.219973564148,4919024.288944006,0.24890352319597253,189.1999945640564,992676.7636432648,0.2478584664209073,228.67999267578125,1174485.6842233539
34393.09000658989,18835.19001019001,0.2945385242067151,10130.089973449707,78068468.16170663,7,0.327083433634845,1119.319999217987,3873799.75494352,0.31281196214460083,628.4799957275391,2044473.2533599585,0.3108034192768639,559.4000000953674,1414698.474535212,0.332330999227031,1299.7999949455261,7807354.578425974,0.27464964512042606,684.0400085449219,6444124.663027704,0.2893630659979326,178.0,1896321.250346288,0.28947936842959066,174.0,1358385.819444552
39937.26000726223,22793.110024333,0.22273511000213006,8895.430000901222,79350225.37877749,9,0.2761964642791953,2135.1000061035156,2792703.0516524613,0.26201171550331565,1568.6000061035156,2432520.156163618,0.23116082573572846,336.5,948827.3394579738,0.2836681836362718,2433.5000047683716,8071555.682267711,0.21018542585343153,501.1999988555908,3623476.717745751,0.2186436925764938,163.4000015258789,1229631.3676110357,0.22123275355631755,60.0,827968.0514280647
38102.36005175114,21794.350027799606,0.271511265644609,10345.22000169754,83970790.98879287,11,0.2963013318450558,944.5600280761719,5862172.946663886,0.28074953853694185,352.0,1124401.4678739905,0.2943067047433021,868.5600280761719,2262039.602326706,0.31464140302367166,1643.3600234985352,10060054.425759107,0.2508479784819537,787.3200073242188,7333241.484574556,0.27032708705644276,45.119998931884766,2551896.4440356493,0.271511265644609,0.0,1399533.200788498
40881.430039048195,23763.99001634121,0.2353919618234606,9623.160019040108,87134528.43123487,12,0.2558325384122851,835.6400017738342,2251034.309261337,0.2404504933585422,206.8000030517578,468868.6155670136,0.23955032907816826,170.0,683504.5220422745,0.26211411913992777,1092.440004825592,3960936.6694963276,0.22582649396130383,391.050005197525,5125203.744672656,0.22601362048426651,383.4000053405762,715855.5892531872,0.23056336348059372,197.40000534057617,904299.3122002482
40462.210037469864,23383.110013246536,0.23745638094790025,9608.009960651398,79133850.4553209,13,0.24899406045587485,466.8400115966797,3657112.773646891,0.24197813115740285,182.9600067138672,1634181.1465778947,0.24173098697050008,172.9600067138672,1380742.9962242544,0.26682106526797705,1188.1600246429443,6997983.938404322,0.2255395825009255,482.18000173568726,4776794.056328818,0.23597351582648357,60.0,1735686.2603600025,0.2316040065501895,236.8000020980835,1013229.9056633711
40506.3199505806,23753.609974622726,0.20509268702284195,8307.550000071526,71359442.28386223,14,0.21818298974304193,530.239990234375,2426239.2812322676,0.21604208960529264,443.52000427246094,485900.612326771,0.2174917395866673,502.239990234375,871168.8497235179,0.2382983693688842,1345.0399932861328,5053362.981180847,0.17080865462250092,1388.7199856042862,4089787.785534829,0.1999191733274153,209.56000101566315,1041462.1781264246,0.20351466164043366,63.92000102996826,858363.9514569938
36195.48998630047,21678.98998773098,0.22751867735347334,8235.150007843971,75922925.00038199,16,0.27149045354070855,1591.579984664917,3892279.472031608,0.25687261051537624,1062.4799938201904,1871845.6005412787,0.24905229952831723,779.4200057983398,1212141.0921296328,0.2821061408270525,1975.8199875354767,8414303.397853374,0.20523413288650236,806.6000061035156,2956407.3407914788,0.21356445261381043,505.0800018310547,1526601.2577141076,0.22274460182314731,172.8000030517578,709297.4802784473
21986.970005750656,12719.900015115738,0.1863999449285057,4098.369998216629,36526641.02549866,18,0.21370884662275288,600.4400024414062,1345528.1913070083,0.20004438979387532,300.0,333433.6285765022,0.20756884643333656,465.44000244140625,464594.4788058549,0.22194463362676906,781.5200042724609,2474875.6000142246,0.15963682120237138,588.439998626709,1563432.482637167,0.18315074768019357,71.44000244140625,373625.76151277125,0.18315074768019357,71.44000244140625,337875.0847743079
45547.50003159046,24925.630035996437,0.17116790196694073,7796.270020246506,77807299.61270952,19,0.1817607995997339,482.4800052642822,2026852.2760304809,0.17862385454712476,339.6000003814697,367929.9475957453,0.17638355589731733,237.55999755859375,770612.1241352409,0.18813041371095113,772.600004196167,3785788.765199721,0.15775113920575787,611.1000022888184,3049472.589622885,0.16728184894806508,177.0,920781.719855532,0.17070684482910803,21.0,566972.6838183403
