county,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
Hawaii,119897.79002916813,14609.00999200344,29544595.31248097,28374.760004639626,103665462.0588541,28553416.476947084,12020298.746028742
Honolulu,553087.3405200243,53930.56004500389,104945469.50114164,125523.0199085474,451771428.1248152,221632695.55238828,42840805.73793581
Kauai,41574.75997328758,4875.179999709129,11078935.556075063,9936.91000366211,36071999.9982357,9211834.82109016,4485368.891326558
Maui,95592.40007078648,10602.949992775917,20793496.469177328,22199.060005307198,77637227.53257751,19802967.471097548,8506880.56194067
