scenario,label,tax_year,eligibility,postnatal_months,per_birth_$,cost_total_$,cost_prenatal_$,cost_postnatal_$,cost_se_$,cost_ci90_low_$,cost_ci90_high_$,assumption_band_low_$,assumption_band_high_$,admin_cost_$,appropriation_total_$,eligible_families,expected_recipients,expected_pregnancies,expected_infants,avg_benefit_per_recipient_$,first_year_total_$
statutory_6mo,Statutory (Medicaid OR ≤300% FPL) · 6-mo postnatal,2028,Medicaid OR ≤300% FPL,6,4500.0,37510869.0,11818493.0,25692376.0,5690840.0,28149437.0,46872300.0,22506718.0,47825833.0,3000869.0,40511738.0,7340.0,16443.0,7879.0,8564.0,2281.0,15560540.0
universal_6mo,Universal · 6-mo postnatal,2028,Universal (no income/Medicaid test),6,4500.0,63874931.0,20124978.0,43749953.0,8467241.0,49946320.0,77803542.0,38325294.0,81439644.0,5109994.0,68984926.0,11521.0,28000.0,13417.0,14583.0,2281.0,26497078.0
universal_12mo,Universal · 12-mo postnatal,2028,Universal (no income/Medicaid test),12,7500.0,107624884.0,20124978.0,87499906.0,14266721.0,84156129.0,131093639.0,64575265.0,137220834.0,8609991.0,116234875.0,11521.0,28000.0,13417.0,14583.0,3844.0,29332723.0
