quintile,avg_income,families,expected_recipients,total_benefit_$,avg_benefit_per_recipient_$,share_of_benefit_pct
Q1,17182.0,110267.0,911.0,1366653.0,1500.0,5.5
Q2,57024.0,110263.0,5499.0,8248070.0,1500.0,33.3
Q3,96722.0,110317.0,4862.0,7293167.0,1500.0,29.5
Q4,154809.0,110231.0,3329.0,4993148.0,1500.0,20.2
Q5,334084.0,110343.0,1893.0,2839986.0,1500.0,11.5
