weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,county,poverty_rate_hi_eitc_revert_20,persons_lifted_hi_eitc_revert_20,gap_closed_hi_eitc_revert_20_$,poverty_rate_hi_eitc_revert_20_behavioral,persons_lifted_hi_eitc_revert_20_behavioral,gap_closed_hi_eitc_revert_20_behavioral_$
188755.0,77905.0,0.19449551005271384,36712.0,204815697.26242056,Hawaii,0.1949299356308442,82.0,1832696.8997656405,0.1949299356308442,82.0,4476602.847446531
927095.0,348716.0,0.09222140125877068,85498.0,461608526.66615593,Honolulu,0.09387495348373144,1533.0,3918355.9752398133,0.09512293777876053,2690.0,7599244.9889291525
56195.0,23047.0,0.13723640893317912,7712.0,37317854.34058863,Kauai,0.13723640893317912,0.0,546897.7319999933,0.13723640893317912,0.0,1115329.9254962653
149154.0,57442.0,0.07730265363315768,11530.0,76922141.22218838,Maui,0.07730265363315768,0.0,76260.81399999559,0.07826809874358046,144.0,205637.81639944017
