county,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
Hawaii,115112.61006772518,17299.66000032425,26748152.16771415,27236.110010504723,104716344.89980936,64749822.948549196,10699260.86708566
Honolulu,552868.8002244234,68456.7699971199,84381831.4458739,125721.50998044014,451264984.4882667,298122447.1432271,33752732.57834956
Kauai,40931.500049591064,6648.3700033426285,10046078.896742795,8728.860005021095,30795840.030670166,20708916.548260447,4018431.558697118
Maui,93690.61006772518,12755.990012168884,15410414.052359518,21305.760034799576,72298068.59207153,48492082.193931945,6164165.620943809
