county,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
Hawaii,119897.79002916813,14312.379989266396,22456988.703504864,28374.760004639626,103707040.05858898,38744478.13625893,9042851.324045215
Honolulu,553087.3405200243,54793.99005877972,78769383.02975704,125735.69990694523,452898699.624902,166804598.49575865,31720054.548338704
Kauai,41574.75997328758,4953.799999594688,8274653.550739426,9936.91000366211,36095099.9982357,14535442.811164318,3324353.84492236
Maui,95592.40007078648,10002.530001163483,14843397.155128874,22109.51000225544,77379434.03263092,26976200.953632988,5989025.058876157
