tax_year,scenario,population,metric,value
2025,baseline,all,weighted_persons,1408606.270473957
2025,baseline,all,weighted_filers,810152.2905932665
2025,baseline,all,poverty_rate,0.2235251373758646
2025,baseline,all,persons_in_poverty,314858.9101161957
2025,baseline,all,poverty_gap_$,2687121418.9620333
2025,no_eitc,all,poverty_rate,0.2418256380853977
2025,no_eitc,all,persons_lifted,25778.200052261353
2025,no_eitc,all,gap_closed_$,100095652.67720509
2025,no_ctc,all,poverty_rate,0.2352666795624202
2025,no_ctc,all,persons_lifted,16539.20994901657
2025,no_ctc,all,gap_closed_$,37359443.78288365
2025,no_hi_eitc,all,poverty_rate,0.2303984278291051
2025,no_hi_eitc,all,persons_lifted,9681.760031223295
2025,no_hi_eitc,all,gap_closed_$,36403864.93070221
2025,no_credits,all,poverty_rate,0.2604626629192109
2025,no_credits,all,persons_lifted,52030.430096149445
2025,no_credits,all,gap_closed_$,210427932.93973684
2025,expanded_ctc_2021,all,poverty_rate,0.2103548709013403
2025,expanded_ctc_2021,all,persons_lifted,18551.71993982792
2025,expanded_ctc_2021,all,gap_closed_$,155238140.3897028
2025,hi_eitc_100pct,all,poverty_rate,0.215636751402928
2025,hi_eitc_100pct,all,persons_lifted,11111.629945397375
2025,hi_eitc_100pct,all,gap_closed_$,42513759.25645828
2025,hi_ctc_650,all,poverty_rate,0.2200849567905863
2025,hi_ctc_650,all,persons_lifted,4845.859943985939
2025,hi_ctc_650,all,gap_closed_$,30905435.303875923
