tax_year,scenario,population,metric,value
2022,baseline,all,weighted_persons,1408606.270473957
2022,baseline,all,weighted_filers,810152.2905932665
2022,baseline,all,poverty_rate,0.2037765386845258
2022,baseline,all,persons_in_poverty,287040.910166502
2022,baseline,all,poverty_gap_$,2206695083.4866695
2022,no_eitc,all,poverty_rate,0.2164313595002545
2022,no_eitc,all,persons_lifted,17825.659952759743
2022,no_eitc,all,gap_closed_$,70699197.36346722
2022,no_ctc,all,poverty_rate,0.2137109257455537
2022,no_ctc,all,persons_lifted,13993.639907479286
2022,no_ctc,all,gap_closed_$,27688112.78639317
2022,no_hi_eitc,all,poverty_rate,0.2093021707642033
2022,no_hi_eitc,all,persons_lifted,7783.439995765686
2022,no_hi_eitc,all,gap_closed_$,25406533.007252693
2022,no_credits,all,poverty_rate,0.2322132216961842
2022,no_credits,all,persons_lifted,40056.09000170231
2022,no_credits,all,gap_closed_$,149441702.98733807
2022,expanded_ctc_2021,all,poverty_rate,0.1910829845112139
2022,expanded_ctc_2021,all,persons_lifted,17880.22000312805
2022,expanded_ctc_2021,all,gap_closed_$,140998839.1317525
2022,hi_eitc_100pct,all,poverty_rate,0.1994031306527084
2022,hi_eitc_100pct,all,persons_lifted,6160.4099769592285
2022,hi_eitc_100pct,all,gap_closed_$,30987372.97788477
2022,hi_ctc_650,all,poverty_rate,0.201951358672577
2022,hi_ctc_650,all,persons_lifted,2570.96000957489
2022,hi_ctc_650,all,gap_closed_$,27645256.40638781
