weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,house_district,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
31672.0,12913.0,0.16386713816620357,5190.0,27314665.55381257,1,0.18622126799696892,708.0,2129488.4837699383,0.17892775953523618,477.0,795614.4004234858,0.18157994443041173,561.0,774244.6606621258,0.19114675423086638,864.0,4338005.137860626,0.15142712806264208,394.0,1589500.8442024216,0.1546476382924981,292.0,756004.0332388282,0.1601730234907805,117.0,365083.4936449416
29905.0,12065.0,0.180103661595051,5386.0,26636818.646498457,2,0.21284066209663935,979.0,1667484.439233441,0.20461461294097977,733.0,657580.0616248325,0.18318007022237084,92.0,446812.42282968014,0.23113191773950845,1526.0,3392745.9777951986,0.15913726801538206,627.0,1764166.0620138347,0.17482026416987126,158.0,503683.75552789867,0.17592375856880121,125.0,364188.8684877902
29961.0,12356.0,0.21331063716164347,6391.0,28720485.81355855,3,0.2384766863589333,754.0,3041849.667431183,0.23517239077467375,655.0,1297118.3141817302,0.22502586696038182,351.0,982685.3311082721,0.24972464203464503,1091.0,6395603.459904738,0.1977570842094723,466.0,2572959.5312996283,0.18230366142652116,929.0,1130421.690395698,0.20526684690097127,241.0,609794.5179466233
31725.0,13045.0,0.1488100866824271,4721.0,31313040.504306242,5,0.15716312056737589,265.0,895550.257177189,0.15180457052797477,95.0,119133.54789384454,0.1488100866824271,0.0,335174.6720000021,0.15858156028368794,310.0,1552080.4696146697,0.14480693459416863,127.0,2427569.526525907,0.14486997635933807,125.0,465287.70959879085,0.14480693459416863,127.0,407781.370525904
30614.0,12485.0,0.1368328215848958,4189.0,24320249.357381284,6,0.14741621480368458,324.0,1597177.4365117997,0.1368328215848958,0.0,457300.0,0.14653426536878553,297.0,582941.535633903,0.16949761547004638,1000.0,3163133.117502421,0.12128437969556412,476.0,934759.1355135925,0.13271705755536684,126.0,589527.4034976885,0.1368328215848958,0.0,248040.0
31060.0,12015.0,0.2283322601416613,7092.0,33660322.76554912,7,0.24368963296844817,477.0,1115264.7759649977,0.23721828718609145,276.0,226179.89138022065,0.23576947842884738,231.0,368315.91695152223,0.25708306503541534,893.0,2132209.5397173837,0.2154539600772698,400.0,4828293.9644528255,0.2256278171281391,84.0,382383.9983518757,0.2256278171281391,84.0,806266.6387518793
37682.0,13635.0,0.10787643967942254,4065.0,22152932.580342572,9,0.12565681227111086,670.0,1569271.4680791236,0.13956265590998354,1194.0,196736.53592887893,0.11281248341383154,186.0,543108.9153929465,0.15036356881269572,1601.0,4421724.18955766,0.09434212621410754,510.0,1592255.099631656,0.09681014808131204,417.0,475172.97213036567,0.0982166551669232,364.0,295723.8887273632
31818.0,13144.0,0.12734929913885223,4052.0,19320810.60356367,11,0.13605506317178956,277.0,1668881.536826577,0.1370922119554969,310.0,222414.2991461046,0.12848073417562386,36.0,608731.5337701365,0.15516374379282166,885.0,3113223.569662139,0.1168206675466717,335.0,3052732.282543171,0.12602929159595197,42.0,835015.1430312842,0.12602929159595197,42.0,516678.4328312874
34002.0,12784.0,0.10484677371919299,3565.0,17425841.305004142,12,0.11399329451208752,311.0,1436360.5525690801,0.10602317510734663,40.0,86364.70030583441,0.1103170401741074,186.0,508418.4020121917,0.11522851596964885,353.0,2171630.409305446,0.08461266984295042,688.0,1614044.2109367717,0.10034703840950532,153.0,644671.1882471405,0.09896476677842479,200.0,303859.37674471363
34229.0,13586.0,0.1231704110549534,4216.0,26776395.445528038,13,0.1295684945514038,219.0,1655774.330358483,0.12737737006631802,144.0,399593.0385618359,0.12615034035467002,102.0,616819.4268463962,0.13663852288994713,461.0,2914807.754646439,0.11989833182389202,112.0,1571035.926563941,0.12095007157673318,76.0,844705.4878574908,0.1216804464050951,51.0,318589.8818599358
35863.0,13778.0,0.11582968519086524,4154.0,17154198.191075914,14,0.12419485263363356,300.0,1488836.3659592867,0.12168530240080305,210.0,900411.6966067553,0.11872960990435825,104.0,583410.2385782152,0.13253213618492596,599.0,3083563.9442100674,0.09299277807210775,819.0,1703555.2674593143,0.09946184089451524,587.0,697730.2216994241,0.11270668934556506,112.0,442415.10389843397
36727.0,13418.0,0.16320418220927382,5994.0,27574523.67802062,16,0.17730824733847034,518.0,2124816.3499341384,0.16864976720124158,200.0,494611.04301000386,0.17232553707081982,335.0,766221.1694750637,0.1838157214038718,757.0,3738446.124716565,0.15430065074740654,327.0,1987415.6671513468,0.1537833201731696,346.0,730472.310883116,0.1620606093609606,42.0,416268.23108103126
21331.0,7679.0,0.11335614832872346,2418.0,10226688.612069849,18,0.12554498148234963,260.0,906767.9159501046,0.11654399699967184,68.0,190272.57715868205,0.11588767521447658,54.0,304763.77069075033,0.12882659040832592,330.0,1751286.5176712181,0.09132248839716844,470.0,687437.59100556,0.09286953260512869,437.0,286708.6277062148,0.1046833247386433,185.0,185219.86756193265
41345.0,14540.0,0.10509130487362438,4345.0,15554061.24257264,19,0.11735397266900471,507.0,2201794.1764338277,0.11653162413834804,473.0,2037347.9856177755,0.10719554964324586,87.0,831093.7363595609,0.12020800580481315,625.0,5333309.677053604,0.08100133026968194,996.0,1779491.033102978,0.08245253355907607,936.0,983921.2862826549,0.10344660781231105,68.0,589109.0186219774
91998.0,31895.0,0.10357833865953607,9529.0,48187710.76294668,20,0.11576338616056871,1121.0,3733105.7728497237,0.12131785473597252,1632.0,1625668.3756715953,0.10631752864192699,252.0,1270641.8737619817,0.14080740885671428,3425.0,9666110.92838271,0.08746929281071328,1482.0,5151342.3175525665,0.09793691167199287,519.0,1551780.2639708295,0.10119785212722016,219.0,1099445.494553402
