weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,house_district,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
33918.60007119179,20298.29005253315,0.21417894610327276,7264.650016546249,61148857.8941326,1,0.24922107661335902,1188.5800104141235,2640227.5592499226,0.24649513863702502,1096.1200103759766,986550.0779465735,0.22567588283609738,389.95999908447266,753296.299409017,0.2648184184790352,1717.6200113296509,5999006.66854687,0.2091115198379772,171.8800048828125,2131633.085497603,0.2087600902935996,183.8000030517578,943294.969764486,0.2133239579864539,29.0,532602.6898607463
32784.119982481,19282.16998708248,0.30376962858549617,9958.819950580597,65224752.32676268,2,0.32122198036153743,572.1599946022034,4747101.3984893635,0.3177446870702197,458.1599941253662,3089753.7696974203,0.308298650609846,148.48000144958496,1793814.8188045695,0.3496564787910228,1504.3600027561188,11081300.408726044,0.248834496156055,1800.999972820282,5042618.672054417,0.25691523779425424,1536.079969406128,1588768.4411792979,0.28617940483279564,576.6800060272217,1598013.884571597
34449.80999469757,18820.100011706352,0.2513166247450279,8657.809970974922,57383904.701015234,3,0.2831321845301221,1096.0399894714355,3671039.645815119,0.2826340686904308,1078.8799934387207,2534363.127353184,0.26453933886402553,455.5199890136719,1173002.9336543307,0.33170952087622124,2769.5199966430664,9902295.332345322,0.22993711672663725,736.5199890136719,3890363.008824602,0.23881960403344965,430.5199890136719,1264768.2495267391,0.247371174880722,135.9199981689453,1186623.9771058783
34985.889965415,20336.619986653328,0.23073930581341429,8072.619963884354,60080906.15875836,5,0.24821377897872457,611.3599953651428,1609499.4990562648,0.24799883506047937,603.8399910926819,852431.3734236956,0.23976694521416403,315.8399987220764,464767.4664079398,0.2839144570512397,1860.3799901008606,4558348.033672184,0.20954447568421816,741.5199947357178,4940715.041535802,0.22792217011775603,98.55999946594238,546832.4664060175,0.23009447444030232,22.559999465942383,1175410.8083484173
34152.92004489899,18878.37003135681,0.25298363948607205,8640.13001203537,55022154.74252236,6,0.28539199577452884,1106.8400011062622,2918999.547942698,0.2790663286149943,890.7999963760376,2717438.120804079,0.25738736248898975,150.39999961853027,1018431.6637675464,0.30785098311733267,1873.880000114441,8434745.681288034,0.23421042784882945,641.1599960327148,4668836.061737359,0.2380414325232726,510.3199996948242,1286818.4214854091,0.25298363948607205,0.0,1346871.5017139912
33579.6999591589,17497.05999839306,0.3143333608245558,10555.219943642616,62186842.60479107,7,0.331014867793797,560.1599988937378,1539252.7790340632,0.3319666331836701,592.1199951171875,1258443.4459882379,0.318055847926943,125.0,544617.2077330127,0.36425399799086317,1676.3200178146362,4470456.435965814,0.3065667638704568,260.7999954223633,8906874.8796551,0.3099259360953294,148.0,733710.361718908,0.3109741885996832,112.79999542236328,1855882.3397247642
40713.239980220795,22991.029995441437,0.19202451063596096,7817.9399836063385,61210142.86000636,9,0.24029627705975648,1965.3000106811523,2959132.512958236,0.23581861793044825,1783.0,2203810.622185901,0.22619030045459912,1391.0,789822.4254511073,0.2647856076971084,2962.340005874634,8865280.362509444,0.19114027739838296,36.0,3212126.7486923933,0.18976480347326166,92.0,914002.3842748627,0.19153326994841763,20.0,828564.7471309304
35294.69003021717,20925.620030999184,0.24351453404246262,8594.769996881485,57360241.45145458,11,0.2766016635558193,1167.7999801635742,4731774.749895021,0.25934354401044557,558.6800003051758,2660674.3416509405,0.25438529108769214,383.6800003051758,1701885.7731854469,0.2774006505658043,1195.999979019165,10523323.892096773,0.22990568808621245,480.3199996948242,5076116.690741286,0.23448201388251438,318.79999923706055,2249095.557507351,0.24056791516265488,104.0,1428427.5261946842
37583.44011890888,22511.140043854713,0.21988487508930343,8264.030035972595,59253647.77991901,12,0.22565550173715518,216.88000106811523,2297930.0765150785,0.2219238050229569,76.63000106811523,1434232.9382371828,0.2215845598671207,63.880001068115234,894139.6875167638,0.23825014455586874,690.2300052642822,5238184.088783056,0.2117312840004656,306.44000244140625,3473929.9569903016,0.20701644129762367,483.64001083374023,1132916.152191393,0.21658342100637537,124.08000183105469,929820.8944127783
38074.24002432823,22189.04002046585,0.20142463723800405,7669.089985013008,55084013.66217596,13,0.22014595644723717,712.8000011444092,2424859.277105868,0.2115364606558258,384.9999918937683,1224347.1915504634,0.20632033558358837,186.39999389648438,814005.9578663334,0.23710650518449686,1358.5600047111511,6002206.196095102,0.19371128569813514,293.67999792099,3524695.18672394,0.20076802531393081,25.0,1118357.916371651,0.19925624203397135,82.55999946594238,926909.8055092022
