weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,county,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
203871.04001784325,115112.61006772518,0.2350361280988345,47917.05987727642,299507792.31280535,Hawaii,0.25121027420067427,3297.439987182617,11558731.217683256,0.2523647294601896,3532.7999815940857,7954332.308912218,0.23962510750070912,935.5600032806396,4193939.1506252885,0.2734646365840562,7834.45999121666,30818777.436866224,0.20440715831358827,6244.359924793243,25451075.58594495,0.22474060029949566,2098.9599599838257,4393775.312523484,0.22654566298111378,1730.9599537849426,6581920.061487913
962743.2402205467,552868.8002244234,0.1856121264120182,178696.82000613213,1293349436.358801,Honolulu,0.1998414863926519,13699.220134019852,37546794.72708416,0.19945865323640202,13330.650100708008,27217881.365848303,0.18931959467349263,3569.3400070667267,12926034.427521706,0.22146335726701558,34515.530159235,105531484.84726334,0.17458550002886594,10615.810012817383,85410337.53460455,0.1813124961229556,4139.439996242523,16287969.029488087,0.1825899498833115,2909.580023765564,20897781.24552679
66669.06006479263,40931.500049591064,0.22626687676524307,15084.999997735023,107485498.07172339,Kauai,0.26028295555037717,2267.819999694824,3687692.167551592,0.25225824371685673,1732.8200044631958,3291996.3536503017,0.2309080102310161,309.42000579833984,1124965.7795917243,0.28616392599841367,3993.2799730300903,12187383.54525575,0.20728295842995778,1265.639991760254,5494757.033553377,0.2180171728804099,550.0000038146973,1528271.3188734949,0.22220862246852738,270.5599994659424,1619318.7475442737
162068.6801122427,93690.61006772518,0.17688957531704513,28668.25999724865,193004486.96220058,Maui,0.18395423450935092,1144.9599907398224,7760428.210436106,0.18482861690485916,1286.669991493225,4003958.7881148756,0.17866437841518687,287.6399955749512,2978567.0063666105,0.20666405119556908,4825.5100066661835,18616000.08823234,0.17173830245029953,834.8599944114685,13754091.886928499,0.1760759696193082,131.86000156402588,4164980.1286026835,0.17453588180434645,381.4600009918213,3342735.053844154
