county,poverty_rate_baseline,poverty_rate_baseline_se,poverty_rate_baseline_ci90_low,poverty_rate_baseline_ci90_high,persons_in_poverty_baseline,persons_in_poverty_baseline_se,persons_in_poverty_baseline_ci90_low,persons_in_poverty_baseline_ci90_high,poverty_gap_baseline_$,poverty_gap_baseline_$_se,poverty_gap_baseline_$_ci90_low,poverty_gap_baseline_$_ci90_high,persons_lifted_no_eitc,persons_lifted_no_eitc_se,persons_lifted_no_eitc_ci90_low,persons_lifted_no_eitc_ci90_high,gap_closed_no_eitc_$,gap_closed_no_eitc_$_se,gap_closed_no_eitc_$_ci90_low,gap_closed_no_eitc_$_ci90_high,persons_lifted_no_ctc,persons_lifted_no_ctc_se,persons_lifted_no_ctc_ci90_low,persons_lifted_no_ctc_ci90_high,gap_closed_no_ctc_$,gap_closed_no_ctc_$_se,gap_closed_no_ctc_$_ci90_low,gap_closed_no_ctc_$_ci90_high,persons_lifted_no_hi_eitc,persons_lifted_no_hi_eitc_se,persons_lifted_no_hi_eitc_ci90_low,persons_lifted_no_hi_eitc_ci90_high,gap_closed_no_hi_eitc_$,gap_closed_no_hi_eitc_$_se,gap_closed_no_hi_eitc_$_ci90_low,gap_closed_no_hi_eitc_$_ci90_high,persons_lifted_no_credits,persons_lifted_no_credits_se,persons_lifted_no_credits_ci90_low,persons_lifted_no_credits_ci90_high,gap_closed_no_credits_$,gap_closed_no_credits_$_se,gap_closed_no_credits_$_ci90_low,gap_closed_no_credits_$_ci90_high,persons_lifted_expanded_ctc_2021,persons_lifted_expanded_ctc_2021_se,persons_lifted_expanded_ctc_2021_ci90_low,persons_lifted_expanded_ctc_2021_ci90_high,gap_closed_expanded_ctc_2021_$,gap_closed_expanded_ctc_2021_$_se,gap_closed_expanded_ctc_2021_$_ci90_low,gap_closed_expanded_ctc_2021_$_ci90_high,persons_lifted_hi_eitc_100pct,persons_lifted_hi_eitc_100pct_se,persons_lifted_hi_eitc_100pct_ci90_low,persons_lifted_hi_eitc_100pct_ci90_high,gap_closed_hi_eitc_100pct_$,gap_closed_hi_eitc_100pct_$_se,gap_closed_hi_eitc_100pct_$_ci90_low,gap_closed_hi_eitc_100pct_$_ci90_high,persons_lifted_hi_ctc_650,persons_lifted_hi_ctc_650_se,persons_lifted_hi_ctc_650_ci90_low,persons_lifted_hi_ctc_650_ci90_high,gap_closed_hi_ctc_650_$,gap_closed_hi_ctc_650_$_se,gap_closed_hi_ctc_650_$_ci90_low,gap_closed_hi_ctc_650_$_ci90_high
Hawaii,0.22505214058952255,0.021718163213275594,0.1893257621036842,0.2607785190753609,43810.0,4508.927111852664,36392.81490100237,51227.18509899763,210752267.82926995,18359429.286564134,180551006.65287194,240953529.00566795,2354.0,1390.9250159516148,65.92834875959352,4642.071651240407,21014861.603536606,5840041.34195728,11407993.59601688,30621729.61105633,972.0,724.3744887832536,-219.5960340484521,2163.596034048452,4227515.880371247,2418245.9314085133,249501.3232042431,8205530.437538251,972.0,724.3744887832536,-219.5960340484521,2163.596034048452,8107290.188423921,2306162.738638455,4313652.483363663,11900927.893484179,8956.0,3675.896162842471,2909.150812124135,15002.849187875865,39318741.86828379,10518324.7702989,22016097.621142104,56621386.11542548,10413.0,4298.834888664602,3341.41660814673,17484.58339185327,14649497.760776568,3284014.193775831,9247294.412015326,20051701.10953781,9653.0,4282.266502682896,2608.6716030866355,16697.328396913363,8166917.618836502,2193332.8436687645,4558885.091001384,11774950.14667162,2162.0,1628.4725972517929,-516.8374224791992,4840.837422479199,3851039.810743432,890712.7684479649,2385817.3066465296,5316262.3148403345
Honolulu,0.10847546553762188,0.006971753504354102,0.09700693102295939,0.11994400005228438,103789.0,6825.288583642453,92561.40027990816,115016.59972009184,535354687.4181522,34975031.588420205,477820760.45520097,592888614.3811034,7798.0,2546.0885884037893,3609.684272075767,11986.315727924233,27193547.46274297,4533021.172570967,19736727.63386373,34650367.29162221,7186.0,3823.791724192101,895.8626137039937,13476.137386296006,5758742.533692811,1679951.3211930613,2995222.610330225,8522262.457055397,2193.0,1082.4240389052711,412.412456000829,3973.587543999171,9992121.830249349,1722786.1201320759,7158138.6626320835,12826104.997866614,20013.0,4758.303579007965,12185.590612531898,27840.409387468102,58982844.08461787,9432221.304446746,43466840.038802974,74498848.13043277,18789.0,4978.791836379585,10598.887429155582,26979.112570844416,51885211.39152292,6518307.229951253,41162595.99825311,62607826.784792736,5879.0,2182.1209865633023,2289.4109771033677,9468.589022896633,11839717.916690348,2035250.3576219543,8491731.078402232,15187704.754978463,2590.0,1114.3481727000767,756.8972559083738,4423.102744091626,10369558.764159817,1264478.492256987,8289491.644397073,12449625.88392256
Kauai,0.15553981046851476,0.03519233545318044,0.09764841864803292,0.2134312022889966,8781.0,2184.7330271683086,5187.114170308132,12374.885829691868,49958780.96328008,12384690.935289044,29585964.374729604,70331597.55183056,276.0,300.2132575353727,-217.85080864568806,769.8508086456881,2809673.3871435337,1533748.2771700118,286657.4711988643,5332689.303088203,0.0,0.0,0.0,0.0,1473319.5999999996,1117650.756129233,-365215.89383258857,3311855.093832588,276.0,300.2132575353727,-217.85080864568806,769.8508086456881,1121407.199554564,613511.4397830995,112180.8811113654,2130633.5179977627,1840.0,1409.9733330811616,-479.40613291851105,4159.4061329185115,6550176.730761152,3403256.773824455,951819.3378199227,12148534.12370238,1070.0,930.2840426450408,-460.31725015109214,2600.317250151092,5096967.383461853,2003618.6969378025,1801014.6269991673,8392920.139924537,944.0,929.5357981272158,-585.08638791927,2473.0863879192702,1544523.9460551853,862968.3371823229,124941.03139026416,2964106.8607201064,40.0,42.87656702675717,-30.531952759015553,110.53195275901555,1153958.6421609903,505308.5335842287,322726.10441493406,1985191.1799070465
Maui,0.10602754892702465,0.01872434820109713,0.07522599613621987,0.13682910171782942,16280.0,2989.8914027101387,11361.628642541822,21198.371357458178,97987225.94461429,18387901.25393507,67739128.3818911,128235323.50733748,1635.0,1608.2175692362025,-1010.5179013935531,4280.517901393553,3746038.1027952298,1852168.5027851972,699220.9157135803,6792855.289876879,649.0,583.9730301991693,-311.63563467763356,1609.6356346776336,125603.32270725133,144961.8042526383,-112858.84528833869,364065.4907028413,85.0,94.90126448051153,-71.11258007044145,241.11258007044145,1402618.6466609659,734526.2634410125,194322.94330050028,2610914.350021431,2349.0,1655.7168387136733,-374.6541996839924,5072.654199683992,6197220.071153984,2723482.839155183,1717090.8007437084,10677349.34156426,2909.0,1409.1615947080022,590.9291767053364,5227.070823294664,10206397.847285904,5141450.770089345,1748711.3304889314,18664084.364082877,544.0,519.9513438774825,-311.31996067845876,1399.3199606784588,1781036.3798246966,992162.073176957,148929.76944860234,3413142.9902007906,0.0,0.0,0.0,0.0,1894359.9999999986,858058.8840400171,482853.13575417036,3305866.864245827
